Cohort ID,Likelihood Weights,Mortality Prob
0,2.8537197877860217e-10,0.0917022004702574
1,1.6304439112046263e-36,0.12203244934421581
2,1.768886108751911e-08,0.05001143748173449
3,0.0007138856636976457,0.08023325726318398
4,0.03135214956173172,0.06467558908171131
5,0.0014320468257495974,0.059233859476879785
6,0.015333028618373728,0.06862602113776708
7,0.00019247576968030636,0.08455607270430478
8,1.4770190754965452e-09,0.089676747423067
9,7.874956924458912e-19,0.10388167340033569
10,2.2097928816629696e-08,0.09191945144032948
11,4.081092689655958e-39,0.11852195003967594
12,0.042163864987207,0.07044522497315174
13,1.998976727727437e-45,0.13781174363909454
14,2.7626184513727995e-08,0.05273875931979262
15,9.496290051003256e-24,0.11704675101784022
16,1.4839892255999769e-05,0.0917304802367127
17,1.339179931569016e-16,0.10586898284457516
18,0.009314048976897256,0.06403869385952338
19,0.027144181346359958,0.06981014890848788
20,8.181831918245631e-42,0.13007445686755365
21,5.43759777620907e-65,0.14682615757193973
22,0.001063493412268122,0.08134241781592429
23,2.6116579837477693e-33,0.11923226156693141
24,1.1497404725527034e-46,0.1376389152296038
25,4.611561327708488e-50,0.13946066635038473
26,0.00022707317347179717,0.05850442113697779
27,1.0048956404748561e-07,0.053905478323288236
28,0.007720571356253262,0.06698304195645689
29,8.973609207325817e-49,0.1378142503429413
30,0.00047557315200832647,0.05983468338330501
31,3.3088201253052096e-11,0.0921107625005052
32,5.43759777620907e-65,0.14578895301505018
33,7.176720630493454e-20,0.1033165284973017
34,6.328510697001113e-31,0.11918771139504733
35,4.672931936169458e-06,0.0815515631006063
36,2.2843660335444555e-27,0.11865009276815837
37,5.130626796093478e-45,0.13346256718973729
38,1.0048956404748561e-07,0.051828827734419186
39,2.820511918528e-32,0.12501443149449676
40,5.272997865854929e-63,0.14888610889064946
41,1.9859307514185743e-35,0.12481656543798393
42,0.012758844919376788,0.07804439920644052
43,9.734266184140696e-39,0.12892793284514886
44,0.013657778571696377,0.06032260065776421
45,4.422449489453248e-14,0.09478935261759051
46,1.0122382670702353e-57,0.14085955030930955
47,0.003683434914359947,0.07936141483736794
48,0.02732077634028729,0.07877753385863487
49,0.046305134066090874,0.06300285721182777
50,6.584298975990763e-08,0.05193669578702971
51,6.33231390576504e-25,0.1178835532939891
52,0.04328592259355595,0.0711628116000059
53,0.023289722490978926,0.07655466593722263
54,2.3187946410209187e-16,0.09915731592803383
55,2.2881541931676193e-07,0.05533625451170804
56,1.3622351228421818e-30,0.1074117605492013
57,0.010645037167597411,0.06467285749058102
58,1.848550721493606e-23,0.10893055369032842
59,1.848550721493606e-23,0.11997583600209312
60,0.0007535138527607223,0.06023344288278259
61,4.837096063257085e-09,0.09140559878195684
62,2.919368858871132e-30,0.11944001577277451
63,2.2032026061302723e-09,0.09141792695269027
64,0.0009393441248661707,0.05499534589460872
65,7.299638570183013e-14,0.10358964059155115
66,7.176720630493454e-20,0.11637946452197888
67,6.862007062423195e-16,0.10148891120583085
68,2.3909649186378875e-48,0.14445947559908134
69,8.062211621635856e-18,0.10865550405019929
70,1.6983526453929149e-50,0.14034019152878835
71,0.029256020490594586,0.06374747041462375
72,0.017112454230695302,0.06392763472507586
73,8.436996641652403e-44,0.13073912887095238
74,8.376115009978818e-13,0.08976768369855335
75,0.009314048976897256,0.06653541971169327
76,3.433813789509508e-58,0.14275085803960338
77,2.572019520628788e-05,0.08477658597455065
78,4.081092689655958e-39,0.12508121031361555
79,7.752244486391704e-46,0.12259979853504514
80,1.0712423962250646e-52,0.13833060912058098
81,7.938163452715533e-26,0.11236722070556088
82,2.820511918528e-32,0.12509424340273373
83,0.00015214919410565142,0.08488983419778426
84,0.0008734295491724235,0.07699278917650261
85,1.3013296287254e-59,0.13958862181960668
86,4.597769180754071e-08,0.09280911898712949
87,5.4093583901975855e-64,0.14648400471483855
88,2.578774743813194e-28,0.1163441497818448
89,1.1374236019633772e-20,0.11216957202091218
90,7.723278624654825e-05,0.061474597295337524
91,2.24151358446072e-74,0.14494892587070712
92,6.550200369705884e-10,0.09499121334799404
93,2.5414369446733395e-22,0.10783896143871317
94,9.395545577418801e-08,0.09081368027612811
95,0.003683434914359947,0.07370269802430277
96,1.998976727727437e-45,0.14033795205622537
97,1.7337072431163723e-21,0.10736794866722858
98,7.92519124288259e-13,0.0502870327031159
99,2.5414369446733395e-22,0.11171449136207239
100,2.5506586122461416e-06,0.08266449017720962
101,1.1374236019633772e-20,0.10270581022576092
102,1.5451637148835813e-61,0.13859420993107746
103,2.572019520628788e-05,0.08572697600024998
104,3.8934458620591376e-59,0.1408535150919799
105,5.7984608453767085e-33,0.11233601157918027
106,7.754859021639504e-11,0.05158212428465563
107,4.8396859160717014e-54,0.1429437233743761
108,1.281688879352719e-32,0.11908969175169239
109,1.365420842034397e-53,0.14973228504514804
110,0.0043619997591052475,0.06723405083453285
111,0.006017254716297371,0.06371357496288778
112,8.244582232930657e-52,0.14325954630371635
113,1.5930386260150772e-25,0.11968181614899001
114,5.7997463808259506e-05,0.05660001727220625
115,6.179461465580482e-32,0.12554630526024663
116,1.1710928127493368e-33,0.12538761884612465
117,1.4898048562899237e-68,0.14230245355464832
118,1.3478841570563081e-31,0.12115247586284718
119,5.056436187314846e-07,0.062427096197216474
120,7.433588584934554e-07,0.05198801338397956
121,2.3034203184344785e-15,0.05262109868777193
122,1.2496971298387664e-05,0.052830648802079466
123,0.022966666155131422,0.07462110676030459
124,6.225067532295647e-51,0.1360027948682888
125,4.408970723380936e-17,0.10388310643416529
126,5.7039890391830596e-15,0.1052821978685766
127,3.307547143240051e-42,0.13420308923596058
128,0.0001751554118446198,0.062417331511991116
129,0.0022270734741345107,0.07791836790111395
130,2.5414369446733395e-22,0.10857592714582878
131,1.0755793782356727e-71,0.14695957483196745
132,7.700703497638606e-17,0.106103021925571
133,0.00022707317347179717,0.051864728937294304
134,7.023044737114592e-37,0.1300632672680616
135,0.03338962278057605,0.07329742738410204
136,4.938324456110569e-41,0.1307105195618779
137,9.93819054071982e-07,0.08878606440641718
138,5.331401795146113e-43,0.13635418545594286
139,2.1257632265277e-43,0.12471216427371846
140,4.422449489453248e-14,0.1056240233990419
141,4.325764309394415e-05,0.06364552256606851
142,7.0842270840581165e-09,0.05599176895122117
143,0.00010215450142705343,0.06213434557407374
144,3.7590008515530867e-10,0.05445518785447617
145,0.00013421243476164567,0.06074941291060929
146,0.03718375144269083,0.07257093386078547
147,2.820511918528e-32,0.12129889803826767
148,7.700703497638606e-17,0.10597169820541424
149,2.596401853246853e-11,0.05125559801591159
150,0.0036798093637343426,0.05719742796894868
151,1.0712423962250646e-52,0.1467276330000272
152,5.7039890391830596e-15,0.10681004619199422
153,0.0353281741619325,0.07032932346609905
154,0.03338962278057605,0.07523257445703234
155,5.463443277003838e-38,0.1243825854075093
156,0.035395970697018435,0.06954294811093188
157,9.568335489838795e-27,0.10813589272732577
158,4.8396859160717014e-54,0.14700199890883123
159,9.734266184140696e-39,0.13468288014900354
160,0.03139293151877554,0.07398477591475862
161,6.550200369705884e-10,0.09937697142687299
162,1.3478841570563081e-31,0.11199557183813796
163,4.716090902846242e-61,0.13289808995501787
164,0.013657778571696377,0.06567913946460843
165,5.056436187314846e-07,0.05185762021774096
166,0.0002924389774104785,0.05700221437192224
167,2.667659217612104e-14,0.09863451109370318
168,5.359184320097491e-28,0.11063294616533303
169,7.938163452715533e-26,0.10688514370864813
170,0.00047008208913689646,0.08173624093221607
171,5.1672802828079e-67,0.14886161544124488
172,3.1830255432397193e-25,0.10797452192457968
173,1.3669194582350335e-06,0.08801411726235504
174,2.3980113949168187e-19,0.10509482191178968
175,8.181831918245631e-42,0.1245334430906502
176,2.6116579837477693e-33,0.11692328934531845
177,0.012758844919376788,0.07649195576628094
178,0.009314048976897256,0.05663348344284416
179,1.521695877828179e-08,0.08700841979141063
180,1.2542789752486157e-24,0.11297175070215644
181,0.04626504768544893,0.07101740099148396
182,2.79855663427633e-29,0.12527555537388138
183,4.325764309394415e-05,0.056653648135411495
184,0.001063493412268122,0.07603150985785409
185,2.9267282519836007e-40,0.13047545637433455
186,0.046305134066090874,0.06934342826233278
187,2.919368858871132e-30,0.11394608808799402
188,2.3980113949168187e-19,0.10246703091237336
